Song,Artists,Release Date,Popularity
Party In The U.S.A.,['Miley Cyrus'],2010-03-30,1
Deuces (feat. Tyga & Kevin McCall),"['Chris Brown', 'Tyga', 'Kevin McCall']",2010-06-25,3
3,['Britney Spears'],2009-11-10,0
Impossible - Main,['Shontelle'],2010-01-01,69
Forever,"['Drake', 'Kanye West', 'Lil Wayne', 'Eminem']",2009-01-01,66
Two Is Better Than One (feat. Taylor Swift),"['Boys Like Girls', 'Taylor Swift']",2009-09-03,65
My First Kiss (feat. Ke$ha),"['3OH!3', 'Kesha']",2010-06-25,63
Already Gone,['Kelly Clarkson'],2009-03-09,54
Rock That Body,['Black Eyed Peas'],2009-01-01,56
Secrets,['OneRepublic'],2009-01-01,76
Naturally,['Selena Gomez & The Scene'],2009-01-01,64
Un-thinkable (I'm Ready),['Alicia Keys'],2009-12-15,64
"All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",['DJ Khaled'],2010-02-09,62
I Made It (Cash Money Heroes),"['Kevin Rudolf', 'Birdman', 'Jay Sean', 'Lil Wayne']",2010-01-01,54
Stuck Like Glue,['Sugarland'],2010-01-01,0
Hey Daddy (Daddy's Home),['Usher'],2010-03-30,1
There Goes My Baby,['Usher'],2010-03-30,1
Today Was A Fairytale,['Taylor Swift'],2010-01-22,0
Say Something (Featuring Drake),"['Timbaland', 'Drake']",2009-01-01,55
Sweet Dreams,['Beyonce'],2008-11-14,62
Use Somebody,['Kings of Leon'],2008-09-23,5
Undo It,['Carrie Underwood'],2009-11-03,39
Eenie Meenie,"['Justin Bieber', 'Sean Kingston']",2010-01-01,6
Right Above It,"['Lil Wayne', 'Drake']",2010-01-01,67
The House That Built Me,['Miranda Lambert'],2009-09-24,67
If I Die Young,['The Band Perry'],2010-01-01,3
The Only Exception,['Paramore'],2009-09-28,70
American Honey,['Lady Antebellum'],2010-01-01,63
King of Anything,['Sara Bareilles'],2010-09-07,64
Life After You,['Daughtry'],2009-07-14,51
Smile,['Uncle Kracker'],2009-09-11,68
Teach Me How to Dougie (Explicit Version),['Cali Swag District'],2011-04-17,0
Try Sleeping with a Broken Heart,['Alicia Keys'],2009-12-15,62
